 OriginalName,ShortName,Source,URI,Units,Definition
ID_EoL,ID_EoL,https://github.com/naturalis/trait-organismal-ungulates/tree/master/terms/terms.md,https://github.com/naturalis/trait-organismal-ungulates/blob/master/terms/terms.md#id_eol,-,ID for the EoL database
BinomialName,BinomialName,https://github.com/naturalis/trait-organismal-ungulates/tree/master/terms/terms.md,https://github.com/naturalis/trait-organismal-ungulates/blob/master/terms/terms.md#binomialname,-,"The name of the organism, consisting of 2 terms in Latin: the first being the genus and the second being the species."
Order,Order,https://github.com/naturalis/trait-organismal-ungulates/tree/master/terms/terms.md,https://github.com/naturalis/trait-organismal-ungulates/blob/master/terms/terms.md#order,-,The taxonomic rank Order
Family,Family,https://github.com/naturalis/trait-organismal-ungulates/tree/master/terms/terms.md,https://github.com/naturalis/trait-organismal-ungulates/blob/master/terms/terms.md#family,-,The taxonomic rank Family
Genus,Genus,https://github.com/naturalis/trait-organismal-ungulates/tree/master/terms/terms.md,https://github.com/naturalis/trait-organismal-ungulates/blob/master/terms/terms.md#genus,-,The taxonomic rank Genus
Species,Species,https://github.com/naturalis/trait-organismal-ungulates/tree/master/terms/terms.md,https://github.com/naturalis/trait-organismal-ungulates/blob/master/terms/terms.md#species,-,The taxonomic rank Species
Domestication,Domestication,https://github.com/naturalis/trait-organismal-ungulates/tree/master/terms/terms.md,https://github.com/naturalis/trait-organismal-ungulates/blob/master/terms/terms.md#domestication,-,Whether the animal is domesticated or the wild ancestor of a domesticated species or not. Species were defined as (1) domesticated or (2) wild.
,,,,,
1-1_ActivityCycle,ActivityCycle,PanTHERIA,http://purl.obolibrary.org/obo/VT_0001502,-,"Any measurable or observable behavioral characteristic related to a daily biological activity cycle. Species were defined as (1) nocturnal only, (2) nocturnal/crepuscular, cathemeral, crepuscular or diurnal/crepuscular and (3) diurnal only."
5-1_AdultBodyMass_g,AdultBodyMass,PanTHERIA,http://purl.obolibrary.org/obo/VT_0001259,grams,The amount of matter in the body of an organism.
8-1_AdultForearmLen_mm,AdultForearmLen,PanTHERIA,http://purl.obolibrary.org/obo/VT_0010023,milimeters,The distance from point to point along the longest axis of the anterior/superior jointed appendages used for locomotion or grasping.
13-1_AdultHeadBodyLen_mm,AdultHeadBodyLen,PanTHERIA,http://purl.obolibrary.org/obo/VT_0001256,milimeters,The distance from point to point along the longest axis of the body of an organism.
2-1_AgeatEyeOpening_d,AgeatEyeOpening,PanTHERIA,http://eol.org/schema/terms/AgeAtEyeOpening,days,Age at which both eyes are fully open after birth.
3-1_AgeatFirstBirth_d,AgeatFirstBirth,PanTHERIA,http://eol.org/schema/terms/AgeAtMaturity,days,Age at the first successful reproduction.
18-1_BasalMetRate_mLO2hr,BasalMetRate,PanTHERIA,http://purl.bioontology.org/ontology/SNOMEDCT/165109007,mL.O2/hr,Basal metabolic rate (BMR) is the amount of energy expended daily by humans and other animals at rest. Rest is defined as existing in a neutrally temperate environment while in the post-absorptive state.
5-2_BasalMetRateMass_g,BasalmetRateMass,PanTHERIA,,grams,Mass of individual(s) from which the basal metabolic rate was taken.
6-1_DietBreadth,DietBreadth,PanTHERIA,http://eol.org/schema/terms/DietBreadth,count, Number of dietary categories eaten by an organism.
7-1_DispersalAge_d,DispersalAge,PanTHERIA,http://eol.org/schema/terms/DispersalAge,days,"Age at which young permanently leave the parent, parental group, social group or any associated territories."
9-1_GestationLen_d,GestationLen,PanTHERIA,http://purl.obolibrary.org/obo/VT_0002292,days,The length of time between when a fertilized egg implants in the wall of the uterus and the birth of offspring.
12-1_HabitatBreadth,HabitatBreadth,PanTHERIA,http://eol.org/schema/terms/HabitatBreadth,count,Number of habitat layers used by an organism.
