ID_EoL,CanonicalName,BinomialName,Order,Family,Genus,Species,Domestication,X1.1_ActivityCycle,X5.1_AdultBodyMass_g,X8.1_AdultForearmLen_mm,X13.1_AdultHeadBodyLen_mm,X2.1_AgeatEyeOpening_d,X3.1_AgeatFirstBirth_d,X18.1_BasalMetRate_mLO2hr,X5.2_BasalMetRateMass_g,X6.1_DietBreadth,X7.1_DispersalAge_d,X9.1_GestationLen_d,X12.1_HabitatBreadth,X22.1_HomeRange_km2,X22.2_HomeRange_Indiv_km2,X14.1_InterbirthInterval_d,X15.1_LitterSize,X16.1_LittersPerYear,X17.1_MaxLongevity_m,X5.3_NeonateBodyMass_g,X13.2_NeonateHeadBodyLen_mm,X21.1_PopulationDensity_n_per_km2,X10.1_PopulationGrpSize,X23.1_SexualMaturityAge_d,X10.2_SocialGrpSize,X24.1_TeatNumber,X12.2_Terrestriality,X6.2_TrophicLevel,X25.1_WeaningAge_d,X5.4_WeaningBodyMass_g,X13.3_WeaningHeadBodyLen_mm,Diet,AVGFoodConsumption,Sociality,SocialHierarchy,NumMales,MaturityReachMale,MaturityReachFemale,MatingSystem,NumOffspring,BreedingInterval,YearRoundBreeding,AVGBodyMass,ParentalCare,DevelopmentStrategy,HeadOrnaments,Lifespan,NaturalPredators,Motility,CarryWeight,PullStrength,AVGMovingSpeed,AVGTravelDistance
328648,Equus przewalskii,Equus_caballus,Perissodactyla,Equidae,Equus,caballus,1,2,403598.53,NA,NA,0,912.5,NA,NA,1,742.31,338.97,1,15.62,16.32,547.5,1,1,744,37899.99,NA,2.3,NA,834.72,10.5,2,1,1,341.76,NA,NA,4,7.5,2,1,1,72,29.5,2,1,548,2,403,2,1,0,62,1,1,80719.706,80719.706,48,15.62
309018,Lama glama guanicoe,Lama_glama,Artiodactyla,Camelidae,Lama,glama,1,3,78322.67,NA,1595.1,NA,NA,NA,NA,2,NA,342.74,1,NA,NA,NA,1,1,339.6,8999.99,NA,0.45,8,676.66,20,NA,1,1,131.7,29000,NA,4,5,2,1,2,30,30,2,1,NA,1,78,2,1,0,15,1,1,15664.534,15664.534,60,26
311494,Madoqua saltiana,Madoqua_saltiana,Artiodactyla,Bovidae,Madoqua,saltiana,0,2,3424.47,NA,595,NA,NA,NA,NA,2,327.33,182.5,NA,NA,NA,NA,1,NA,168,672.79,NA,NA,NA,253.75,1.5,4,NA,1,41.99,NA,NA,NA,136,2,2,4,NA,NA,NA,1,NA,NA,3.4,NA,2,1,14,2,NA,684.894,684.894,NA,NA
311492,Neotragus batesi,Neotragus_batesi,Artiodactyla,Bovidae,Neotragus,batesi,0,2,2967.45,NA,540,NA,365,NA,NA,4,NA,181.24,1,NA,NA,NA,1,NA,168,499.99,NA,NA,NA,366.52,NA,4,1,1,NA,NA,NA,NA,0.12,1,2,4,NA,NA,NA,1,NA,1,2.96,2,2,1,19,2,NA,593.49,593.49,NA,0.03
328677,Ovis ammon,Ovis_ammon,Artiodactyla,Bovidae,Ovis,ammon,0,3,113998.72,NA,1585,NA,NA,NA,NA,2,NA,165,1,4.59,4.3,365,1.22,NA,180.96,3232.64,NA,0.02,NA,555.47,NA,NA,1,1,76.61,NA,NA,6,4.52,2,1,3,60,18,3,1.22,365,2,113,NA,NA,0,24,1,1,22799.744,22799.744,60,4.59
311906,Ovis aries orientalis,Ovis_aries,Artiodactyla,Bovidae,Ovis,aries,1,3,39097.89,NA,1297.23,NA,730,NA,NA,2,NA,152.54,NA,NA,NA,365,1.19,NA,230.04,2376.24,NA,33,NA,831.62,35,NA,NA,1,182.5,17500,NA,NA,1,2,1,1,30.0493,18.0164,3,1.19,365,2,39,2,2,0,24,2,1,7819.578,7819.578,40,1
1038777,Procapra picticaudata,Procapra_picticaudata,Artiodactyla,Bovidae,Procapra,picticaudata,0,2,23197.67,NA,980,NA,NA,NA,NA,3,NA,182.5,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.92,NA,NA,3,NA,NA,NA,1,NA,NA,23,2,NA,1,NA,1,1,4639.534,4639.534,NA,NA
328653,Rangifer tarandus,Rangifer_tarandus,Artiodactyla,Cervidae,Rangifer,tarandus,1,3,109088.5,NA,2224.35,NA,NA,NA,NA,3,NA,222.5,NA,2771.22,2599.89,365,2,NA,242.4,5490.62,NA,2.55,"100,000.00",758.71,2.2,NA,NA,1,136.87,24907.05,NA,4,6,2,2,3,22.3561,16,2,2,365,2,109,2,1,0,20,2,1,21817.7,21817.7,70,2771.22
308523,Rucervus duvaucelii,Rucervus_duvaucelii,Artiodactyla,Cervidae,Rucervus,duvaucelii,0,2,171223.86,NA,1500,NA,1095,NA,NA,2,NA,245,2,14.11,20,NA,1,NA,NA,NA,NA,11.24,401,827.69,64.25,NA,1,1,NA,NA,NA,4,6.84,2,1,1,NA,30,2,1,NA,2,171,2,1,1,20,1,1,34244.772,34244.772,48,14.11
328663,Sus scrofa,Sus_scrofa,Artiodactyla,Suidae,Sus,scrofa,1,2,84471.54,NA,1349.99,NA,312,NA,NA,5,NA,115.2,NA,1.18,5.8,230,4.52,1.5,252,807.77,239.99,3.54,NA,350.76,13,11,NA,2,97.88,6469.99,419.99,NA,3.36,2,2,3,6,10,2,4.52,230,1,84,2,1,0,21,2,1,16894.308,16894.308,48,1.18
